1;arms_factory;2949.00;10.93;1357.00;1.52;0
1;arms_factory;2950.00;11.20;1370.00;2.73;0
1;arms_factory;2946.00;12.55;1369.00;0.57;0
1;arms_factory;2946.00;12.55;1369.00;3.24;0
1;arms_factory;2950.00;12.05;1361.00;4.79;0
1;arms_factory;2953.00;10.15;1364.00;2.63;0
1;industrial_complex;2943.00;10.30;1365.00;5.30;0
1;industrial_complex;2945.00;9.60;1357.00;1.68;0
1;industrial_complex;2946.00;9.73;1358.00;3.24;0
1;industrial_complex;2949.00;10.70;1371.00;1.08;0
1;industrial_complex;2949.00;10.70;1371.00;3.74;0
1;industrial_complex;2944.00;10.85;1370.00;0.13;0
1;air_base;2952.00;10.40;1362.00;1.68;0
1;naval_base;2940.00;9.50;1364.00;-1.19;5579
1;naval_base;2947.00;9.68;1373.00;-3.00;5555
1;naval_base;2945.00;9.50;1354.00;-0.79;5579
1;bunker;2949.00;10.93;1357.00;0.13;0
1;bunker;2947.00;13.68;1367.00;2.80;0
1;bunker;2948.00;10.82;1371.00;0.63;0
1;coastal_bunker;2941.00;9.50;1364.00;-1.19;0
1;coastal_bunker;2953.00;9.50;1378.00;-3.00;0
1;coastal_bunker;2952.00;9.98;1357.00;-0.79;0
1;dockyard;2944.00;10.25;1371.00;-2.60;0
1;anti_air_building;2943.00;10.35;1366.00;5.47;0
1;anti_air_building;2947.00;10.07;1358.00;3.30;0
1;anti_air_building;2947.00;10.07;1358.00;5.97;0
1;synthetic_refinery;2950.00;10.07;1372.00;3.81;0
1;radar_station;2948.00;13.38;1365.00;4.55;0
1;rocket_site;2945.00;11.23;1370.00;1.75;0
1;nuclear_reactor;2954.00;9.90;1365.00;5.87;0
2;arms_factory;3011.00;9.60;1349.00;0.57;0
2;arms_factory;3010.00;11.13;1359.00;3.24;0
2;arms_factory;2998.00;10.28;1366.00;4.79;0
2;arms_factory;3012.00;10.48;1353.00;2.63;0
2;arms_factory;3022.00;9.95;1350.00;5.30;0
2;arms_factory;2994.00;11.40;1373.00;1.68;0
2;industrial_complex;3004.00;10.98;1373.00;3.24;0
2;industrial_complex;3000.00;9.68;1360.00;1.08;0
2;industrial_complex;3002.00;10.40;1371.00;3.74;0
2;industrial_complex;3017.00;12.30;1360.00;0.13;0
2;industrial_complex;2992.00;9.70;1366.00;1.68;0
2;industrial_complex;3016.00;11.63;1357.00;5.81;0
2;air_base;3010.00;11.13;1359.00;0.74;0
2;naval_base;3004.00;9.50;1351.00;-0.46;5656
2;naval_base;3011.00;9.50;1348.00;0.32;1452
2;naval_base;2997.00;9.50;1358.00;-0.93;5656
2;naval_base;2986.00;9.50;1367.00;-0.90;5579
2;naval_base;3021.00;9.50;1347.00;0.17;1452
2;bunker;3017.00;11.65;1357.00;4.86;0
2;bunker;3013.00;11.55;1358.00;1.24;0
2;bunker;3012.00;11.98;1364.00;5.37;0
2;bunker;3008.00;11.03;1362.00;5.47;0
2;bunker;2997.00;9.60;1360.00;3.30;0
2;bunker;2996.00;10.40;1369.00;5.97;0
2;bunker;3004.00;10.98;1373.00;3.81;0
2;coastal_bunker;2989.00;9.50;1364.00;-0.90;0
2;coastal_bunker;2993.00;9.50;1362.00;-0.93;0
2;coastal_bunker;3012.00;9.50;1348.00;0.32;0
2;coastal_bunker;3000.00;9.50;1355.00;-0.46;0
2;coastal_bunker;3020.00;9.50;1347.00;0.17;0
2;dockyard;3016.00;9.50;1348.00;0.32;0
2;anti_air_building;3024.00;11.43;1353.00;2.87;0
2;anti_air_building;3009.00;12.18;1368.00;4.42;0
2;anti_air_building;3002.00;9.70;1356.00;2.26;0
2;synthetic_refinery;2996.00;9.73;1363.00;3.47;0
